company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
005380,2017-07-11,74,14,1.7297297297297298,0.1891891891891892
005380,2017-07-12,43,12,1.697674418604651,0.27906976744186046
005380,2017-07-13,99,12,1.5353535353535352,0.12121212121212122
005380,2017-07-14,60,9,1.6333333333333333,0.15
005380,2017-07-15,31,5,1.8387096774193548,0.16129032258064516
005930,2017-07-09,59,9,2.016949152542373,0.15254237288135594
005930,2017-07-10,136,39,2.110294117647059,0.2867647058823529
005930,2017-07-11,120,27,1.925,0.225
005930,2017-07-12,282,87,2.074468085106383,0.30851063829787234
005930,2017-07-13,243,72,2.016460905349794,0.2962962962962963
005930,2017-07-14,216,46,1.8842592592592593,0.21296296296296297
005930,2017-07-15,107,14,1.897196261682243,0.1308411214953271
033100,2017-07-09,3,0,2.0,0.0
033100,2017-07-10,24,3,1.5833333333333333,0.125
033100,2017-07-11,17,4,1.8823529411764706,0.23529411764705882
033100,2017-07-12,9,3,1.8888888888888888,0.3333333333333333
033100,2017-07-13,6,2,2.5,0.3333333333333333
033100,2017-07-14,1,0,2.0,0.0
033100,2017-07-15,4,0,2.0,0.0
080220,2017-07-11,2,1,2.5,0.5
080220,2017-07-12,4,0,1.5,0.0
080220,2017-07-13,2,0,1.0,0.0
080220,2017-07-14,4,3,2.5,0.75
105560,2017-07-09,3,0,2.0,0.0
105560,2017-07-10,3,2,2.6666666666666665,0.6666666666666666
105560,2017-07-11,9,0,2.0,0.0
105560,2017-07-12,4,0,2.0,0.0
105560,2017-07-13,4,1,1.75,0.25
105560,2017-07-14,9,4,2.4444444444444446,0.4444444444444444
105560,2017-07-15,1,1,3.0,1.0
190510,2017-07-10,6,1,2.1666666666666665,0.16666666666666666
190510,2017-07-11,2,0,2.0,0.0
190510,2017-07-12,3,1,2.3333333333333335,0.3333333333333333
190510,2017-07-13,9,2,1.4444444444444444,0.2222222222222222
190510,2017-07-14,27,2,1.5555555555555556,0.07407407407407407
190510,2017-07-15,1,0,2.0,0.0
000660,2017-07-16,172,34,1.8662790697674418,0.19767441860465115
000660,2017-07-17,235,62,2.0042553191489363,0.26382978723404255
000660,2017-07-18,237,63,1.9620253164556962,0.26582278481012656
000660,2017-07-19,235,60,2.0042553191489363,0.2553191489361702
000660,2017-07-20,149,39,2.046979865771812,0.26174496644295303
000660,2017-07-21,164,47,2.0548780487804876,0.2865853658536585
000660,2017-07-22,85,21,1.988235294117647,0.24705882352941178
005380,2017-07-16,14,1,1.9285714285714286,0.07142857142857142
005380,2017-07-17,68,9,1.661764705882353,0.1323529411764706
005380,2017-07-18,101,14,1.4752475247524752,0.13861386138613863
005380,2017-07-19,66,10,1.5606060606060606,0.15151515151515152
005380,2017-07-20,99,20,1.5757575757575757,0.20202020202020202
005380,2017-07-21,52,5,1.25,0.09615384615384616
005380,2017-07-22,6,1,2.0,0.16666666666666666
005930,2017-07-16,101,10,1.603960396039604,0.09900990099009901
005930,2017-07-17,126,23,1.9603174603174602,0.18253968253968253
005930,2017-07-18,113,22,1.991150442477876,0.19469026548672566
005930,2017-07-19,159,27,1.9056603773584906,0.16981132075471697
005930,2017-07-20,141,40,2.120567375886525,0.28368794326241137
005930,2017-07-21,111,32,2.144144144144144,0.2882882882882883
005930,2017-07-22,28,2,1.9285714285714286,0.07142857142857142
033100,2017-07-16,8,0,2.0,0.0
033100,2017-07-17,74,19,2.189189189189189,0.25675675675675674
033100,2017-07-18,22,4,2.1363636363636362,0.18181818181818182
033100,2017-07-19,25,5,2.12,0.2
033100,2017-07-20,41,8,2.073170731707317,0.1951219512195122
033100,2017-07-21,29,2,1.793103448275862,0.06896551724137931
033100,2017-07-22,6,0,2.0,0.0
080220,2017-07-17,5,2,2.4,0.4
080220,2017-07-18,1,0,2.0,0.0
080220,2017-07-20,4,1,2.0,0.25
080220,2017-07-21,2,0,2.0,0.0
105560,2017-07-16,1,0,0.0,0.0
105560,2017-07-17,5,2,2.6,0.4
105560,2017-07-18,5,2,2.4,0.4
105560,2017-07-19,22,9,2.1363636363636362,0.4090909090909091
105560,2017-07-20,24,6,2.0833333333333335,0.25
105560,2017-07-21,21,6,2.142857142857143,0.2857142857142857
105560,2017-07-22,9,2,1.6666666666666667,0.2222222222222222
190510,2017-07-16,1,0,2.0,0.0
190510,2017-07-17,3,0,1.3333333333333333,0.0
190510,2017-07-18,8,1,1.375,0.125
190510,2017-07-19,1,0,2.0,0.0
190510,2017-07-21,3,0,1.0,0.0
190510,2017-07-22,3,0,2.0,0.0
000660,2017-07-23,73,18,1.9726027397260273,0.2465753424657534
000660,2017-07-24,352,100,2.071022727272727,0.2840909090909091
000660,2017-07-25,600,166,1.945,0.27666666666666667
000660,2017-07-26,1012,285,1.9298418972332017,0.2816205533596838
000660,2017-07-27,421,126,2.02375296912114,0.2992874109263658
000660,2017-07-28,752,194,1.9015957446808511,0.2579787234042553
000660,2017-07-29,154,37,1.9025974025974026,0.24025974025974026
005380,2017-07-23,12,1,1.1666666666666667,0.08333333333333333
005380,2017-07-24,72,19,1.8333333333333333,0.2638888888888889
005380,2017-07-25,84,10,1.5952380952380953,0.11904761904761904
005380,2017-07-26,90,10,1.3888888888888888,0.1111111111111111
005380,2017-07-27,91,16,1.5934065934065933,0.17582417582417584
005380,2017-07-28,85,43,2.635294117647059,0.5058823529411764
005380,2017-07-29,12,4,2.4166666666666665,0.3333333333333333
005930,2017-07-23,39,9,2.051282051282051,0.23076923076923078
005930,2017-07-24,82,13,1.829268292682927,0.15853658536585366
005930,2017-07-25,150,23,1.82,0.15333333333333332
005930,2017-07-26,182,53,2.010989010989011,0.29120879120879123
005930,2017-07-27,171,34,2.0116959064327484,0.19883040935672514
005930,2017-07-28,572,150,1.8793706293706294,0.26223776223776224
005930,2017-07-29,97,28,2.051546391752577,0.28865979381443296
033100,2017-07-23,5,0,2.0,0.0
033100,2017-07-24,17,3,1.8235294117647058,0.17647058823529413
033100,2017-07-25,11,4,2.1818181818181817,0.36363636363636365
033100,2017-07-26,8,1,2.0,0.125
033100,2017-07-27,13,3,2.076923076923077,0.23076923076923078
033100,2017-07-28,8,2,2.375,0.25
