company_code,dt,attn_volume,greed_count,mean_greed_score,greed_ratio
033100,2017-07-23,5,0,2.0,0.0
033100,2017-07-24,17,1,1.411764705882353,0.058823529411764705
033100,2017-07-25,11,1,1.4545454545454546,0.09090909090909091
033100,2017-07-26,8,1,1.375,0.125
033100,2017-07-27,13,2,1.5384615384615385,0.15384615384615385
033100,2017-07-28,8,2,2.25,0.25
033100,2017-07-29,23,5,1.6956521739130435,0.21739130434782608
080220,2017-07-24,2,0,1.0,0.0
080220,2017-07-25,3,2,2.6666666666666665,0.6666666666666666
080220,2017-07-26,2,0,1.5,0.0
080220,2017-07-27,2,0,1.0,0.0
080220,2017-07-28,3,1,1.3333333333333333,0.3333333333333333
105560,2017-07-23,3,1,1.6666666666666667,0.3333333333333333
105560,2017-07-24,5,1,1.0,0.2
105560,2017-07-25,6,2,1.5,0.3333333333333333
105560,2017-07-26,3,1,2.3333333333333335,0.3333333333333333
105560,2017-07-27,3,1,2.3333333333333335,0.3333333333333333
105560,2017-07-28,4,0,2.0,0.0
105560,2017-07-29,3,0,1.6666666666666667,0.0
190510,2017-07-23,1,0,1.0,0.0
190510,2017-07-24,2,0,0.0,0.0
190510,2017-07-25,4,1,1.5,0.25
190510,2017-07-26,7,2,1.7142857142857142,0.2857142857142857
190510,2017-07-27,4,0,1.5,0.0
190510,2017-07-28,16,2,1.25,0.125
000660,2017-07-30,134,24,1.4179104477611941,0.1791044776119403
000660,2017-07-31,321,96,1.8130841121495327,0.29906542056074764
000660,2017-08-01,261,55,1.6551724137931034,0.210727969348659
000660,2017-08-02,239,52,1.7280334728033473,0.2175732217573222
000660,2017-08-03,238,57,1.6260504201680672,0.23949579831932774
000660,2017-08-04,359,92,1.6434540389972145,0.2562674094707521
000660,2017-08-05,103,22,1.5922330097087378,0.21359223300970873
005380,2017-07-30,17,4,1.8235294117647058,0.23529411764705882
005380,2017-07-31,72,27,2.1805555555555554,0.375
005380,2017-08-01,27,7,1.6666666666666667,0.25925925925925924
005380,2017-08-02,46,10,1.326086956521739,0.21739130434782608
005380,2017-08-03,30,10,1.8,0.3333333333333333
005380,2017-08-04,19,9,2.3684210526315788,0.47368421052631576
005380,2017-08-05,10,5,2.6,0.5
005930,2017-07-30,63,8,1.6666666666666667,0.12698412698412698
005930,2017-07-31,191,45,1.7277486910994764,0.2356020942408377
005930,2017-08-01,156,31,1.4743589743589745,0.1987179487179487
005930,2017-08-02,101,30,1.8316831683168318,0.297029702970297
005930,2017-08-03,353,94,1.6827195467422096,0.26628895184135976
005930,2017-08-04,120,18,1.45,0.15
005930,2017-08-05,68,0,1.0441176470588236,0.0
033100,2017-07-30,15,6,1.6666666666666667,0.4
033100,2017-07-31,10,2,2.0,0.2
033100,2017-08-01,11,1,1.1818181818181819,0.09090909090909091
033100,2017-08-02,16,3,2.0625,0.1875
033100,2017-08-03,11,1,1.3636363636363635,0.09090909090909091
033100,2017-08-04,4,0,1.5,0.0
033100,2017-08-05,3,0,2.0,0.0
080220,2017-07-31,1,0,2.0,0.0
080220,2017-08-01,1,0,2.0,0.0
080220,2017-08-02,2,0,1.0,0.0
080220,2017-08-03,1,0,0.0,0.0
080220,2017-08-04,3,0,0.6666666666666666,0.0
105560,2017-07-30,1,0,2.0,0.0
105560,2017-07-31,4,0,1.5,0.0
105560,2017-08-01,5,0,1.2,0.0
105560,2017-08-02,10,5,2.1,0.5
105560,2017-08-03,13,1,0.9230769230769231,0.07692307692307693
105560,2017-08-04,9,4,2.111111111111111,0.4444444444444444
105560,2017-08-05,2,2,3.0,1.0
190510,2017-07-30,2,0,0.5,0.0
190510,2017-07-31,11,0,0.9090909090909091,0.0
190510,2017-08-01,5,0,1.2,0.0
190510,2017-08-02,4,2,3.0,0.5
190510,2017-08-03,2,0,0.0,0.0
190510,2017-08-04,1,0,2.0,0.0
000660,2017-08-06,58,8,1.6896551724137931,0.13793103448275862
000660,2017-08-07,231,69,1.683982683982684,0.2987012987012987
000660,2017-08-08,402,110,1.818407960199005,0.2736318407960199
000660,2017-08-09,369,91,1.7046070460704608,0.24661246612466126
000660,2017-08-10,218,67,1.885321100917431,0.3073394495412844
000660,2017-08-11,488,134,1.6639344262295082,0.27459016393442626
000660,2017-08-12,110,30,1.6727272727272726,0.2727272727272727
005380,2017-08-06,9,3,2.3333333333333335,0.3333333333333333
005380,2017-08-07,39,7,1.6666666666666667,0.1794871794871795
005380,2017-08-08,104,14,1.4615384615384615,0.1346153846153846
005380,2017-08-09,46,15,1.7173913043478262,0.32608695652173914
005380,2017-08-10,105,16,1.561904761904762,0.1523809523809524
005380,2017-08-11,81,14,1.6790123456790123,0.1728395061728395
005380,2017-08-12,22,5,1.6818181818181819,0.22727272727272727
005930,2017-08-06,43,5,1.627906976744186,0.11627906976744186
005930,2017-08-07,199,37,1.6633165829145728,0.18592964824120603
005930,2017-08-08,131,23,1.6412213740458015,0.17557251908396945
005930,2017-08-09,318,77,1.6037735849056605,0.24213836477987422
005930,2017-08-10,287,58,1.5400696864111498,0.20209059233449478
005930,2017-08-11,564,171,1.7570921985815602,0.30319148936170215
005930,2017-08-12,107,11,1.4766355140186915,0.102803738317757
033100,2017-08-06,13,4,2.0,0.3076923076923077
033100,2017-08-07,23,3,1.7391304347826086,0.13043478260869565
033100,2017-08-08,7,2,2.0,0.2857142857142857
033100,2017-08-09,13,4,2.0,0.3076923076923077
033100,2017-08-10,77,13,1.7402597402597402,0.16883116883116883
033100,2017-08-11,60,7,1.6333333333333333,0.11666666666666667
033100,2017-08-12,22,2,1.5909090909090908,0.09090909090909091
080220,2017-08-06,1,0,2.0,0.0
080220,2017-08-07,3,1,2.6666666666666665,0.3333333333333333
080220,2017-08-08,1,0,2.0,0.0
080220,2017-08-09,2,0,1.0,0.0
080220,2017-08-10,9,1,1.6666666666666667,0.1111111111111111
080220,2017-08-11,2,0,2.0,0.0
105560,2017-08-06,1,0,0.0,0.0
105560,2017-08-07,3,0,1.3333333333333333,0.0
105560,2017-08-08,2,0,2.0,0.0
105560,2017-08-09,4,1,2.0,0.25
105560,2017-08-10,2,0,1.5,0.0
105560,2017-08-11,3,1,1.3333333333333333,0.3333333333333333
190510,2017-08-06,1,1,3.0,1.0
190510,2017-08-09,1,0,0.0,0.0
190510,2017-08-10,3,0,1.6666666666666667,0.0
190510,2017-08-11,2,0,1.0,0.0
000660,2017-08-13,127,14,1.4409448818897639,0.11023622047244094
000660,2017-08-14,294,86,1.8197278911564625,0.2925170068027211
000660,2017-08-15,85,17,1.6705882352941177,0.2
000660,2017-08-16,165,41,1.7575757575757576,0.24848484848484848
000660,2017-08-17,165,38,1.6848484848484848,0.23030303030303031
000660,2017-08-18,312,83,1.733974358974359,0.266025641025641
000660,2017-08-19,39,13,2.0256410256410255,0.3333333333333333
005380,2017-08-13,16,2,1.3125,0.125
005380,2017-08-14,45,3,1.488888888888889,0.06666666666666667
005380,2017-08-15,33,2,1.1515151515151516,0.06060606060606061
005380,2017-08-16,34,8,1.6470588235294117,0.23529411764705882
005380,2017-08-17,120,6,1.3083333333333333,0.05
005380,2017-08-18,39,7,1.6153846153846154,0.1794871794871795
005380,2017-08-19,30,1,1.0,0.03333333333333333
005930,2017-08-13,72,6,1.4166666666666667,0.08333333333333333
005930,2017-08-14,165,32,1.6424242424242423,0.19393939393939394
005930,2017-08-15,88,10,1.4318181818181819,0.11363636363636363
005930,2017-08-16,129,33,1.8914728682170543,0.2558139534883721
005930,2017-08-17,165,32,1.503030303030303,0.19393939393939394
005930,2017-08-18,153,28,1.5620915032679739,0.1830065359477124
005930,2017-08-19,72,13,1.6666666666666667,0.18055555555555555
033100,2017-08-13,12,3,2.0,0.25
033100,2017-08-14,45,13,2.022222222222222,0.28888888888888886
033100,2017-08-15,33,5,1.7272727272727273,0.15151515151515152
033100,2017-08-16,22,2,1.6363636363636365,0.09090909090909091
033100,2017-08-17,16,2,1.9375,0.125
033100,2017-08-18,6,1,2.0,0.16666666666666666
033100,2017-08-19,4,1,1.75,0.25
080220,2017-08-13,1,0,2.0,0.0
080220,2017-08-14,4,1,2.0,0.25
080220,2017-08-15,1,0,2.0,0.0
080220,2017-08-16,3,1,1.0,0.3333333333333333
080220,2017-08-17,1,0,0.0,0.0
080220,2017-08-18,1,0,2.0,0.0
080220,2017-08-19,1,0,2.0,0.0
105560,2017-08-13,2,0,2.0,0.0
105560,2017-08-14,2,1,2.0,0.5
105560,2017-08-15,1,0,1.0,0.0
105560,2017-08-16,3,0,1.0,0.0
105560,2017-08-17,3,1,2.0,0.3333333333333333
105560,2017-08-18,1,0,2.0,0.0
190510,2017-08-15,2,1,2.5,0.5
190510,2017-08-17,7,0,1.7142857142857142,0.0
190510,2017-08-18,12,0,1.25,0.0
190510,2017-08-19,3,0,2.0,0.0
000660,2017-08-20,166,39,1.7349397590361446,0.23493975903614459
000660,2017-08-21,216,46,1.5787037037037037,0.21296296296296297
000660,2017-08-22,156,49,1.9615384615384615,0.3141025641025641
000660,2017-08-23,170,40,1.7705882352941176,0.23529411764705882
000660,2017-08-24,171,19,1.3216374269005848,0.1111111111111111
000660,2017-08-25,112,18,1.6428571428571428,0.16071428571428573
000660,2017-08-26,18,4,1.7222222222222223,0.2222222222222222
005380,2017-08-20,18,1,1.2777777777777777,0.05555555555555555
005380,2017-08-21,37,7,1.8108108108108107,0.1891891891891892
005380,2017-08-22,69,11,1.5507246376811594,0.15942028985507245
005380,2017-08-23,51,8,1.4705882352941178,0.1568627450980392
005380,2017-08-24,89,13,1.5056179775280898,0.14606741573033707
005380,2017-08-25,37,4,1.1081081081081081,0.10810810810810811
005380,2017-08-26,38,2,1.0789473684210527,0.05263157894736842
005930,2017-08-20,31,4,1.7096774193548387,0.12903225806451613
005930,2017-08-21,83,8,1.3373493975903614,0.0963855421686747
005930,2017-08-22,75,12,1.36,0.16
005930,2017-08-23,106,21,1.849056603773585,0.19811320754716982
005930,2017-08-24,169,30,1.6627218934911243,0.17751479289940827
005930,2017-08-25,806,130,1.662531017369727,0.16129032258064516
005930,2017-08-26,202,16,1.4752475247524752,0.07920792079207921
033100,2017-08-20,3,1,1.6666666666666667,0.3333333333333333
033100,2017-08-21,4,0,2.0,0.0
033100,2017-08-22,4,1,1.25,0.25
033100,2017-08-23,30,7,1.9,0.23333333333333334
033100,2017-08-24,50,17,1.98,0.34
