date,close,net_profit
04/12/2015,34700,3.46604E+11
07/12/2015,34450,3.46604E+11
08/12/2015,34400,3.46604E+11
09/12/2015,34300,3.46604E+11
10/12/2015,34700,3.46604E+11
11/12/2015,34550,3.46604E+11
14/12/2015,34200,3.46604E+11
15/12/2015,33900,3.46604E+11
16/12/2015,34500,3.46604E+11
17/12/2015,34150,3.46604E+11
18/12/2015,33850,3.46604E+11
21/12/2015,34050,3.46604E+11
22/12/2015,33950,3.46604E+11
23/12/2015,34200,3.46604E+11
24/12/2015,34050,3.46604E+11
28/12/2015,33900,3.46604E+11
29/12/2015,33350,3.46604E+11
30/12/2015,33150,3.46604E+11
04/01/2016,32450,5.45004E+11
05/01/2016,32650,5.45004E+11
06/01/2016,32450,5.45004E+11
07/01/2016,32050,5.45004E+11
08/01/2016,32100,5.45004E+11
11/01/2016,31600,5.45004E+11
12/01/2016,31650,5.45004E+11
13/01/2016,32300,5.45004E+11
14/01/2016,31000,5.45004E+11
15/01/2016,30000,5.45004E+11
18/01/2016,30150,5.45004E+11
19/01/2016,29350,5.45004E+11
20/01/2016,28300,5.45004E+11
21/01/2016,28400,5.45004E+11
22/01/2016,29100,5.45004E+11
25/01/2016,29650,5.45004E+11
26/01/2016,29000,5.45004E+11
27/01/2016,29750,5.45004E+11
28/01/2016,30300,5.45004E+11
29/01/2016,30550,5.45004E+11
01/02/2016,29900,5.45004E+11
02/02/2016,29350,5.45004E+11
03/02/2016,28450,5.45004E+11
04/02/2016,28700,5.45004E+11
05/02/2016,29350,5.45004E+11
11/02/2016,28700,5.45004E+11
12/02/2016,28400,5.45004E+11
15/02/2016,29650,5.45004E+11
16/02/2016,29500,5.45004E+11
17/02/2016,31300,5.45004E+11
18/02/2016,30650,5.45004E+11
19/02/2016,30300,5.45004E+11
22/02/2016,30100,5.45004E+11
23/02/2016,30100,5.45004E+11
24/02/2016,30250,5.45004E+11
25/02/2016,29850,5.45004E+11
26/02/2016,30000,5.45004E+11
29/02/2016,29700,5.45004E+11
02/03/2016,30200,5.45004E+11
03/03/2016,30800,5.45004E+11
04/03/2016,31800,5.45004E+11
07/03/2016,32150,5.45004E+11
08/03/2016,31750,5.45004E+11
09/03/2016,31900,5.45004E+11
10/03/2016,31950,5.45004E+11
11/03/2016,32300,5.45004E+11
14/03/2016,32750,5.45004E+11
15/03/2016,32300,5.45004E+11
16/03/2016,32650,5.45004E+11
17/03/2016,32400,5.45004E+11
18/03/2016,32800,5.45004E+11
21/03/2016,32700,5.45004E+11
22/03/2016,32800,5.45004E+11
23/03/2016,32700,5.45004E+11
24/03/2016,32100,5.45004E+11
25/03/2016,31750,5.45004E+11
28/03/2016,32000,5.45004E+11
29/03/2016,32350,5.45004E+11
30/03/2016,31850,5.45004E+11
31/03/2016,31850,5.45004E+11
01/04/2016,32150,5.80363E+11
04/04/2016,32150,5.80363E+11
05/04/2016,32550,5.80363E+11
06/04/2016,32800,5.80363E+11
07/04/2016,32950,5.80363E+11
08/04/2016,32750,5.80363E+11
11/04/2016,32200,5.80363E+11
12/04/2016,32150,5.80363E+11
14/04/2016,33650,5.80363E+11
15/04/2016,34200,5.80363E+11
18/04/2016,34250,5.80363E+11
19/04/2016,34500,5.80363E+11
20/04/2016,34800,5.80363E+11
21/04/2016,35400,5.80363E+11
22/04/2016,35900,5.80363E+11
25/04/2016,36500,5.80363E+11
26/04/2016,35700,5.80363E+11
27/04/2016,35650,5.80363E+11
28/04/2016,35250,5.80363E+11
29/04/2016,34800,5.80363E+11
02/05/2016,34100,5.80363E+11
03/05/2016,33950,5.80363E+11
04/05/2016,33500,5.80363E+11
09/05/2016,33450,5.80363E+11
10/05/2016,33650,5.80363E+11
11/05/2016,33700,5.80363E+11
12/05/2016,33350,5.80363E+11
13/05/2016,33250,5.80363E+11
16/05/2016,33100,5.80363E+11
17/05/2016,33400,5.80363E+11
18/05/2016,32900,5.80363E+11
19/05/2016,33800,5.80363E+11
20/05/2016,33600,5.80363E+11
23/05/2016,33200,5.80363E+11
24/05/2016,33050,5.80363E+11
25/05/2016,34150,5.80363E+11
26/05/2016,33900,5.80363E+11
27/05/2016,33650,5.80363E+11
30/05/2016,33350,5.80363E+11
31/05/2016,34100,5.80363E+11
01/06/2016,33800,5.80363E+11
02/06/2016,33900,5.80363E+11
03/06/2016,33800,5.80363E+11
07/06/2016,33750,5.80363E+11
08/06/2016,34650,5.80363E+11
09/06/2016,35500,5.80363E+11
10/06/2016,35000,5.80363E+11
13/06/2016,34200,5.80363E+11
14/06/2016,34150,5.80363E+11
15/06/2016,33100,5.80363E+11
16/06/2016,33250,5.80363E+11
17/06/2016,33250,5.80363E+11
20/06/2016,34300,5.80363E+11
21/06/2016,33600,5.80363E+11
22/06/2016,34100,5.80363E+11
23/06/2016,34450,5.80363E+11
24/06/2016,33150,5.80363E+11
27/06/2016,32350,5.80363E+11
28/06/2016,32300,5.80363E+11
29/06/2016,32700,5.80363E+11
30/06/2016,32600,5.80363E+11
01/07/2016,32850,5.64446E+11
04/07/2016,32600,5.64446E+11
05/07/2016,32600,5.64446E+11
06/07/2016,31850,5.64446E+11
07/07/2016,32200,5.64446E+11
08/07/2016,31800,5.64446E+11
11/07/2016,32150,5.64446E+11
12/07/2016,33000,5.64446E+11
13/07/2016,33400,5.64446E+11
14/07/2016,33350,5.64446E+11
15/07/2016,34150,5.64446E+11
18/07/2016,34100,5.64446E+11
19/07/2016,34550,5.64446E+11
20/07/2016,34100,5.64446E+11
21/07/2016,34350,5.64446E+11
22/07/2016,35300,5.64446E+11
25/07/2016,36750,5.64446E+11
26/07/2016,36550,5.64446E+11
27/07/2016,36350,5.64446E+11
28/07/2016,35800,5.64446E+11
29/07/2016,35200,5.64446E+11
01/08/2016,35650,5.64446E+11
02/08/2016,35200,5.64446E+11
03/08/2016,35300,5.64446E+11
04/08/2016,35500,5.64446E+11
05/08/2016,36200,5.64446E+11
08/08/2016,37400,5.64446E+11
09/08/2016,38000,5.64446E+11
10/08/2016,37900,5.64446E+11
11/08/2016,37650,5.64446E+11
12/08/2016,37700,5.64446E+11
16/08/2016,37600,5.64446E+11
17/08/2016,37400,5.64446E+11
18/08/2016,37200,5.64446E+11
19/08/2016,37200,5.64446E+11
22/08/2016,37100,5.64446E+11
23/08/2016,37300,5.64446E+11
24/08/2016,36850,5.64446E+11
25/08/2016,38100,5.64446E+11
26/08/2016,37350,5.64446E+11
29/08/2016,38400,5.64446E+11
30/08/2016,38750,5.64446E+11
31/08/2016,38900,5.64446E+11
01/09/2016,39550,5.64446E+11
02/09/2016,39000,5.64446E+11
05/09/2016,39750,5.64446E+11
06/09/2016,39500,5.64446E+11
07/09/2016,39900,5.64446E+11
08/09/2016,39400,5.64446E+11
09/09/2016,39750,5.64446E+11
12/09/2016,39300,5.64446E+11
13/09/2016,38350,5.64446E+11
19/09/2016,38400,5.64446E+11
20/09/2016,38500,5.64446E+11
21/09/2016,38900,5.64446E+11
22/09/2016,38550,5.64446E+11
23/09/2016,38950,5.64446E+11
26/09/2016,38650,5.64446E+11
27/09/2016,38650,5.64446E+11
28/09/2016,38250,5.64446E+11
29/09/2016,38000,5.64446E+11
30/09/2016,37850,5.64446E+11
04/10/2016,38400,4.53931E+11
05/10/2016,38100,4.53931E+11
06/10/2016,38750,4.53931E+11
07/10/2016,38400,4.53931E+11
10/10/2016,39200,4.53931E+11
11/10/2016,40000,4.53931E+11
12/10/2016,39500,4.53931E+11
13/10/2016,38950,4.53931E+11
14/10/2016,39150,4.53931E+11
17/10/2016,39800,4.53931E+11
18/10/2016,41200,4.53931E+11
19/10/2016,41100,4.53931E+11
20/10/2016,41700,4.53931E+11
21/10/2016,42400,4.53931E+11
24/10/2016,43350,4.53931E+11
25/10/2016,43900,4.53931E+11
26/10/2016,42950,4.53931E+11
27/10/2016,42800,4.53931E+11
